playerID,idx,lgID,yearID,teamID,data_split,Batting_AtBats,Batting_Runs,Batting_BaseOnBalls,Batting_Hits,Batting_HomeRuns,Batting_Games,Batting_BattingAverage,Batting_PlateAppearances,Batting_OnBasePct,Batting_SlugPct,Batting_Doubles,Batting_Triples,Batting_RunsBattedIn,Batting_StolenBases,Batting_CaughtStealing,Batting_Strikeouts,Batting_IntentionalWalks,Batting_HitByPitch,Batting_SacrificeHits,Batting_Sacrifice_Flies,Batting_GroundedIntoDoublePlays
anderbr01,55,AL,1998,BAL,train,479,84,75,113,18,133,0.236,574,0.356,0.42,28,3,51,21,7,78,1,15,4,1,7
anderbr01,55,AL,1999,BAL,train,564,109,96,159,24,150,0.282,692,0.404,0.477,28,5,81,36,7,105,7,24,1,7,6
anderbr01,55,AL,2000,BAL,train,506,89,92,130,19,141,0.257,618,0.375,0.421,26,0,50,16,9,103,5,8,5,7,4
anderbr01,55,AL,2001,BAL,train,430,50,60,87,8,131,0.202,501,0.311,0.3,12,3,45,12,4,77,4,8,2,1,3
anderbr01,55,AL,2002,CLE,train,80,4,18,13,1,34,0.162,101,0.327,0.25,4,0,5,4,0,23,2,2,0,1,5
anderda02,56,NL,1983,LAN,train,115,12,12,19,1,61,0.165,131,0.244,0.261,4,2,2,6,3,15,1,0,4,0,1
anderda02,56,NL,1984,LAN,train,374,51,45,94,3,121,0.251,433,0.331,0.329,16,2,34,15,5,55,4,2,7,5,8
anderda02,56,NL,1985,LAN,train,221,24,35,44,4,77,0.199,262,0.31,0.281,6,0,18,5,4,42,3,1,4,1,4
anderda02,56,NL,1986,LAN,train,216,31,22,53,1,92,0.245,241,0.314,0.301,9,0,15,5,1,39,1,0,2,1,11
anderda02,56,NL,1987,LAN,train,265,32,24,62,1,108,0.234,297,0.299,0.313,12,3,13,9,5,43,1,1,6,1,2
anderda02,56,NL,1988,LAN,train,285,31,32,71,2,116,0.249,325,0.325,0.319,10,2,20,4,2,45,4,1,5,2,9
anderda02,56,NL,1989,LAN,train,140,15,17,32,1,87,0.229,163,0.31,0.264,2,0,14,2,0,26,1,0,5,1,1
anderda02,56,NL,1990,SFN,train,100,14,3,35,1,60,0.35,104,0.369,0.45,5,1,6,1,2,20,0,0,1,0,2
anderda02,56,NL,1991,SFN,train,226,24,12,56,2,100,0.248,240,0.286,0.314,5,2,13,2,4,35,2,0,2,0,8
anderda02,56,NL,1992,LAN,train,84,10,4,24,3,51,0.286,91,0.311,0.44,4,0,8,0,4,11,0,0,1,2,3
anderga01,57,AL,1995,CAL,train,374,50,19,120,16,106,0.321,400,0.352,0.505,19,1,69,6,2,65,4,1,2,4,8
anderga01,57,AL,1996,CAL,train,607,79,27,173,12,150,0.285,642,0.314,0.405,33,2,72,7,9,84,5,0,5,3,22
